Disease,MaleTPR,MaleFPR,FemaleTPR,FemaleFPR,Model
ALS,1,0,1,0,1
Covid-19,0.905,0.004,0.911,0.007,1
Dysphonie,0.727,0.005,0.862,0.009,1
HC,0.99,0.07,0.965,0.079,1
Laryngitis,0.857,0.003,0.615,0.002,1
Parkinson,1,0.001,1,0.005,1
Rekurrensparese,0.85,0.002,0.786,0.007,1
ALS ,1,0,1,0,2
Covid-19 ,0.941,0.01,0.968,0.007,2
Dysphonie ,0.909,0.002,0.92,0.014,2
HC ,0.983,0.042,0.961,0.036,2
Laryngitis ,0.905,0.001,0.846,0.002,2
Parkinson ,1,0.002,0.992,0.005,2
Rekurrensparese ,0.95,0.001,0.857,0.005,2
ALS ,1,0,1,0,3
Covid-19 ,0.921,0.004,0.96,0.007,3
Dysphonie ,0.818,0.001,0.828,0.007,3
HC ,0.992,0.061,0.974,0.058,3
Laryngitis ,0.81,0.001,0.692,0.001,3
Parkinson ,1,0.002,0.992,0.006,3
Rekurrensparese ,0.975,0.001,0.833,0.007,3
ALS ,1,0,1,0,4
Covid-19 ,0.929,0.005,1,0,4
Dysphonie ,0.818,0.001,0.885,0.003,4
HC ,0.994,0.059,0.992,0.041,4
Laryngitis ,0.857,0.001,0.846,0,4
Parkinson ,0.98,0.001,0.966,0.001,4
Rekurrensparese ,0.975,0,0.881,0.006,4
